Date,Open,High,Low,Volume,Adj Close,Close
2021-10-13,209.179993,209.899994,207.130005,18065200,209.066177,209.389999
2006-05-04,5.075,5.2,5.048333,51112800,4.717992,5.143333
2003-01-29,0.841667,0.889167,0.841667,102204000,0.809519,0.8825
2006-11-17,5.995,6.07,5.958333,36160800,5.552735,6.053333
2022-07-05,141.75,149.710007,140.550003,65139700,149.483948,149.639999
2019-06-18,36.875,38.7775,36.764999,58192000,38.003757,38.220001
2016-03-15,8.0325,8.085,7.8925,22621600,7.872352,8.035
2012-04-09,3.6,3.6225,3.54,36550400,3.311461,3.61
2002-04-12,3.136667,3.161667,2.960833,137688000,2.803887,3.056667
2013-02-14,3.05,3.185,3.0125,88209600,2.938149,3.1825
2009-09-24,3.7975,3.7975,3.6725,55287600,3.380259,3.685
2007-10-25,9.2125,9.3,8.3975,80619200,7.957595,8.675
2022-06-16,158.600006,159.419998,154.009995,54574900,155.847305,156.009995
2022-09-29,124.480003,125.0,119.459999,53276300,122.108826,122.199997
2014-12-29,5.1325,5.175,5.1075,8294400,4.935809,5.14
2001-10-11,3.006667,3.171667,2.990833,91800000,2.901732,3.163333
2006-01-31,3.791667,3.8125,3.7175,38445600,3.436826,3.746667
2022-08-24,170.119995,174.059998,168.949997,52266100,172.040375,172.220001
2005-08-16,2.535,2.5575,2.4975,63748800,2.30778,2.515833
2001-04-16,2.875,2.935417,2.803333,76411200,2.619661,2.855833
2013-04-29,3.3575,3.405,3.3425,26971200,3.15124,3.3925
2001-09-24,2.425833,2.536667,2.318333,150750000,2.293256,2.5
2002-04-30,3.0225,3.0625,2.8375,177650400,2.66094,2.900833
2013-03-28,3.155,3.21,3.1325,34927600,2.979396,3.2075
2009-06-10,2.855,2.9475,2.7925,83332000,2.687696,2.93
2004-07-12,1.369167,1.408333,1.3575,67604400,1.262055,1.375833
2011-06-08,4.4925,4.52,4.3575,56928800,4.029251,4.3925
2019-10-25,50.025002,51.345001,49.947498,42309200,50.896015,51.134998
2001-10-01,2.2875,2.325,2.058333,97280400,1.921749,2.095
2014-05-19,4.5375,4.66,4.5175,36007600,4.392364,4.635
2008-01-03,8.3,8.465,8.1575,47530800,7.510413,8.1875
2018-03-15,62.322498,63.154999,61.91,40195200,61.714149,62.334999
2022-01-24,223.300003,233.800003,208.880005,91398200,233.387146,233.720001
2002-09-12,0.901667,0.950833,0.885,129493200,0.820986,0.895
2003-04-22,1.160833,1.1825,1.141667,78739200,1.083946,1.181667
2015-10-07,6.4525,6.57,6.3475,31015200,6.326167,6.505
2008-08-22,3.43,3.47,3.33,45926400,3.12112,3.4025
2001-10-09,2.810833,2.866667,2.601667,91755600,2.459899,2.681667
2000-12-05,2.015625,2.088542,1.828125,99722400,1.839381,2.005208
2013-10-07,3.8825,3.925,3.8625,16995200,3.657062,3.8975
2012-06-19,3.2275,3.3575,3.2125,96047600,3.036271,3.31
2004-10-04,1.270833,1.3125,1.268333,67393200,1.18867,1.295833
2002-06-18,2.34,2.425,2.3125,100830000,2.161776,2.356667
2021-08-18,195.0,196.339996,190.0,28591300,190.072006,190.399994
2012-09-10,3.3425,3.39,3.3125,37110800,3.045444,3.32
2002-07-01,1.425,1.466667,1.398333,116437200,1.310213,1.428333
2016-03-11,8.0375,8.0575,7.9425,27740000,7.891946,8.055
2013-05-31,3.6375,3.69,3.6175,57750800,3.377307,3.6175
2008-07-10,2.97,3.005,2.8925,105699200,2.703749,2.9475
2015-09-28,5.9025,5.94,5.7875,39558400,5.664859,5.825
2009-02-03,2.1,2.1375,2.0425,39694800,1.94468,2.12
2002-08-19,0.929167,1.120833,0.9275,224392800,0.96699,1.054167
2002-11-29,1.460833,1.481667,1.416667,51939600,1.309449,1.4275
2017-11-29,52.502499,52.529999,47.807499,139678800,48.585728,49.105
2005-05-13,2.070833,2.1225,1.983333,265032000,1.936271,2.110833
2005-06-14,2.384167,2.423333,2.1675,240841200,2.05705,2.2425
