Date,Open,High,Low,Volume,Adj Close,Close
2006-07-26,3.375,3.415,3.275,49531800,3.095894,3.375
2010-06-11,2.8075,2.915,2.8,44210400,2.662469,2.9025
2002-02-12,4.999167,5.279167,4.941667,121650000,4.754682,5.183333
2013-07-08,3.57,3.5875,3.5225,26208400,3.307287,3.5425
2011-09-27,3.5425,3.5725,3.4325,78138800,3.173865,3.46
2013-12-17,3.7575,3.7875,3.725,27410400,3.563661,3.7775
2003-06-24,1.891667,1.933333,1.838333,100881600,1.74211,1.899167
2000-10-31,2.466146,2.630208,2.390625,29925600,2.375072,2.589193
2013-02-28,3.14,3.2125,3.1275,59139200,2.939918,3.165
2007-05-18,5.766667,5.853333,5.718333,60426600,5.353988,5.836667
2006-01-20,3.761667,3.805,3.65,46160400,3.348917,3.650833
2023-06-21,435.01001,436.149994,420.799988,55160300,430.356506,430.450012
2006-09-20,5.045,5.168333,5.035,51188400,4.734808,5.161667
2014-04-03,4.6425,4.795,4.64,59954800,4.437376,4.6825
2003-02-04,0.870833,0.875,0.825,62772000,0.768241,0.8375
2015-12-03,8.19,8.275,8.0675,24665600,7.914549,8.1075
2013-04-19,3.1325,3.1525,3.0925,30302800,2.919018,3.1425
2018-03-09,60.775002,61.462502,60.612499,50552400,60.72163,61.3325
2000-05-30,2.257813,2.346354,2.247396,30364800,2.099762,2.289063
2023-10-16,450.630005,462.25,449.119995,37509900,460.887878,460.950012
2001-04-24,3.4225,3.67875,3.135417,182832000,2.92543,3.189167
2009-01-26,1.9375,2.05,1.905,58174800,1.827725,1.9925
2003-09-10,1.679167,1.724167,1.596667,138062400,1.476857,1.61
2018-10-09,66.235001,67.190002,65.699997,27350000,65.80043,66.385002
2001-12-21,5.270833,5.416667,5.21,72397200,4.936615,5.381667
2005-08-29,2.3875,2.416667,2.368333,34339200,2.21452,2.414167
2023-11-06,452.850006,459.350006,448.98999,40073300,457.448334,457.51001
2012-10-10,3.2075,3.2225,3.155,32656800,2.905555,3.1675
2011-09-29,3.415,3.4725,3.1875,86641600,3.001871,3.2725
2020-09-08,117.345001,125.5,117.042503,79572800,118.821426,119.129997
2024-04-11,874.200012,907.390015,869.26001,43163700,906.159973,906.159973
2001-11-30,4.465833,4.585833,4.4,103402800,4.176781,4.553333
2007-05-03,5.526667,5.615,5.516667,50025000,5.117016,5.578333
2015-09-23,5.7275,5.785,5.705,16163200,5.591922,5.75
2024-04-15,890.97998,906.130005,859.289978,44307700,860.01001,860.01001
2000-04-03,1.744141,1.75,1.576823,32995200,1.488227,1.622396
2015-12-07,8.435,8.435,8.2525,33358800,8.080503,8.2775
2007-05-31,5.725,5.808333,5.698333,48157200,5.29589,5.773333
